	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000011880	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011881	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011882	0	0	0	0	0	5	0	0	0	0	0	0
PENG0000011883	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000011884	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011885	0	24	5	20	1	23	12	8	2	12	4	12
PENG0000011886	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011887	0	2	3	3	0	2	0	5	2	8	9	2
PENG0000011888	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011889	19	21	38	28	17	14	42	25	20	23	26	29
PENG0000011890	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011891	5	2	3	2	1	0	6	2	8	6	1	1
PENG0000011892	4522	4371	5216	5238	4531	3587	4409	3561	3566	3480	5852	6015
PENG0000011893	0	9	2	7	0	7	3	3	0	3	0	0
PENG0000011894	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000011895	3	5	16	4	10	0	9	5	7	8	8	3
PENG0000011896	6	0	6	3	1	0	0	1	1	0	3	1
PENG0000011897	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000011898	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011899	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011900	0	0	0	2	0	0	0	0	0	0	0	0
PENG0000011901	1345	2909	1674	2436	1598	2809	1720	3057	1326	2210	1889	1930
PENG0000011902	1639	2430	2111	2968	1871	1347	2063	5863	1737	1698	2470	2687
PENG0000011903	1015	1846	1478	2749	1158	684	1586	3236	1039	920	2687	1429
PENG0000011904	0	1	0	0	0	0	1	0	0	0	0	1
PENG0000011905	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011906	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011907	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011908	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011909	0	0	0	0	0	1	0	0	0	0	0	0
PENG0000011910	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011911	0	1	0	0	0	20	0	0	0	2	0	0
PENG0000011912	10	1234	36	755	8	113	5	1026	7	965	22	449
PENG0000011913	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011914	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011915	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011916	814	670	647	757	866	925	762	267	624	635	485	763
PENG0000011917	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011918	10786	8459	11088	10298	12094	10798	11006	7320	9804	6445	10683	9948
PENG0000011919	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011920	16	15	3	2	3	0	11	9	18	13	2	4
PENG0000011921	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000011922	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011923	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011924	3669	2802	3496	3064	4013	3526	3285	2184	3425	2018	2940	3360
PENG0000011925	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011926	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011927	12	8	19	9	4	16	7	38	7	24	3	11
PENG0000011928	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011929	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011930	673	934	508	523	655	478	474	1142	792	681	620	647
PENG0000011931	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011932	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011933	0	0	0	0	0	0	0	0	0	0	1	0
PENG0000011934	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011935	0	0	0	0	1	0	0	8	0	1	0	1
PENG0000011936	1425	2927	1865	2670	1683	1378	1953	2978	1950	1938	1925	2177
PENG0000011937	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011938	2	21	13	46	6	31	31	17	11	5	40	51
PENG0000011939	2	0	4	0	0	0	1	0	0	0	3	0
PENG0000011940	0	0	0	0	0	0	0	0	0	2	0	0
PENG0000011941	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011942	353	1352	916	1334	444	1709	1409	275	674	1109	1113	1275
PENG0000011943	0	21	0	31	0	36	0	6	0	8	0	31
PENG0000011944	6	12	2	7	3	2	7	16	7	9	9	7
PENG0000011945	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011946	1	0	0	1	0	0	0	0	0	0	0	1
PENG0000011947	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011948	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000011949	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011950	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011951	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011952	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011953	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011954	0	0	0	1	0	0	1	5	0	0	0	0
PENG0000011955	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011956	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011957	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011958	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011959	44	391	307	374	65	216	368	254	53	322	514	304
PENG0000011960	5525	3904	3626	4203	6078	5833	4432	3796	5314	2865	3820	4637
PENG0000011961	301	455	266	345	382	231	309	355	356	367	254	315
PENG0000011962	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011963	4	32	17	23	6	23	12	11	6	39	10	23
PENG0000011964	0	0	0	0	0	0	0	0	0	0	1	0
PENG0000011965	8976	7830	9709	8663	9149	6473	10015	5696	9518	5422	10557	7582
PENG0000011966	0	1	2	0	2	0	1	0	2	0	4	0
PENG0000011967	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011968	220	145	158	187	205	272	202	188	168	182	153	163
PENG0000011969	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011970	0	0	0	0	0	0	0	1	1	1	0	0
PENG0000011971	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011972	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011973	82	682	110	496	85	283	51	603	55	416	86	405
PENG0000011974	2180	2041	2125	2391	2335	2308	2118	1898	1824	1829	1871	2816
PENG0000011975	321	1343	490	768	325	1420	612	317	376	1126	393	863
PENG0000011976	4076	4030	4231	4100	4371	2821	4661	4445	4324	3082	4541	3772
PENG0000011977	2	1	0	2	0	3	0	0	1	0	0	0
PENG0000011978	6091	3849	8049	5174	6907	4454	6982	3895	6080	2698	8324	5835
PENG0000011979	1	0	1	2	0	12	4	0	0	0	5	0
PENG0000011980	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011981	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011982	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011983	352	1683	1705	1292	487	170	2121	2077	615	1082	2840	932
PENG0000011984	0	3	7	1	0	13	0	4	0	1	1	4
PENG0000011985	0	4	3	3	0	0	4	0	0	7	0	1
PENG0000011986	3	13	3	10	1	3	2	8	0	4	4	15
PENG0000011987	376	528	444	639	484	532	473	394	416	350	458	606
PENG0000011988	2044	1614	1520	1358	2329	1384	1863	1208	1883	1199	1480	1464
PENG0000011989	0	0	0	1	0	0	0	2	0	0	0	0
PENG0000011990	3953	3150	5224	2566	3890	2876	5851	2473	4478	2357	5445	2885
PENG0000011991	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000011992	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011993	33	66	40	40	27	49	73	69	10	104	44	46
PENG0000011994	20	136	73	72	26	61	42	155	30	96	69	71
PENG0000011995	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000011996	354	860	819	1164	320	338	654	1374	307	655	628	1035
PENG0000011997	0	0	0	0	0	0	0	0	0	3	0	0
PENG0000011998	1	3	0	0	0	0	0	0	1	0	0	0
PENG0000011999	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012000	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012001	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012002	95	84	113	39	60	225	91	24	179	58	152	49
PENG0000012003	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012004	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012005	1006	1552	641	748	1078	1701	761	969	1377	1136	713	919
PENG0000012006	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012007	1	0	0	0	0	3	3	1	0	2	2	0
PENG0000012008	5	1	3	4	3	3	3	1	5	1	2	7
PENG0000012009	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012010	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012011	0	0	0	0	1	0	0	0	1	0	0	0
PENG0000012012	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012013	8739	6699	8656	8093	9545	6400	9836	8839	9044	5518	8953	6643
PENG0000012014	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012015	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012016	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012017	1	1	0	6	0	0	1	0	1	0	0	0
PENG0000012018	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012019	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012020	12588	5196	11293	5021	13383	4451	10861	3886	12947	3749	11033	5289
PENG0000012021	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012022	3318	3489	3621	3347	3442	1972	4309	4387	3431	2634	3527	3580
PENG0000012023	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012024	271	425	171	431	289	1185	164	340	66	507	98	611
PENG0000012025	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012026	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012027	0	4	0	3	0	0	0	2	0	0	0	0
PENG0000012028	2813	1476	2354	1494	3282	1869	2170	2679	3044	1000	2347	1537
PENG0000012029	4	10	5	8	6	17	7	11	16	22	2	8
PENG0000012030	0	82	9	48	0	18	6	22	5	22	33	63
PENG0000012031	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012032	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012033	5607	2751	3527	1800	6192	3348	3747	2129	5569	2232	4382	1971
PENG0000012034	0	0	3	7	0	0	0	2	0	1	0	8
PENG0000012035	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012036	0	0	0	0	0	0	0	0	0	4	0	1
PENG0000012037	0	0	0	2	0	0	0	0	0	0	0	0
PENG0000012038	982	1116	773	1015	1069	1143	712	927	1065	921	898	1049
PENG0000012039	0	1	0	0	0	0	0	1	1	0	3	0
PENG0000012040	13	16	15	11	8	4	27	17	19	12	15	13
PENG0000012041	1696	2512	2074	2214	1680	2606	1792	1818	1738	1773	2120	2468
PENG0000012042	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012043	4	267	44	376	1	23	55	868	8	194	23	152
PENG0000012044	2	29	12	20	2	15	7	8	9	12	14	10
PENG0000012045	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000012046	0	0	0	0	3	0	0	0	4	0	0	0
PENG0000012047	4	9	9	5	1	13	21	1	11	6	10	12
PENG0000012048	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012049	26	42	43	85	26	13	46	86	34	29	38	82
PENG0000012050	1275	302	1223	356	1306	285	1426	260	1609	227	1933	329
PENG0000012051	793	845	622	532	725	736	776	813	713	730	572	647
PENG0000012052	285	357	234	277	281	524	257	275	238	231	225	343
PENG0000012053	119	894	104	407	157	1180	115	339	132	864	68	437
PENG0000012054	2259	2661	2914	3475	2322	2329	2472	4633	2372	2024	3101	3137
PENG0000012055	8	16	7	8	6	1	5	25	3	9	21	11
PENG0000012056	0	0	0	0	0	0	0	0	0	0	0	1
PENG0000012057	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012058	149	273	169	129	132	160	117	279	99	157	142	126
PENG0000012059	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012060	0	3	0	0	0	0	0	4	0	0	0	1
PENG0000012061	2	4	2	0	1	0	3	0	3	2	1	0
PENG0000012062	1	1	0	1	1	0	0	0	0	0	0	0
PENG0000012063	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012064	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012065	1223	1200	965	1114	1426	1619	1087	1625	1031	1043	730	1213
PENG0000012066	5	18	3	24	7	14	11	70	5	14	12	43
PENG0000012067	1353	119	1128	80	1163	86	1449	41	978	75	1340	65
PENG0000012068	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012069	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012070	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012071	974	860	1008	677	1073	900	842	483	888	718	1140	815
PENG0000012072	1186	634	1339	798	1190	820	1146	516	1174	443	1551	946
PENG0000012073	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012074	3	16	6	16	0	9	5	58	0	5	10	11
PENG0000012075	61	112	142	79	75	36	85	60	92	74	184	62
PENG0000012076	765	843	466	593	844	564	549	600	859	729	407	454
PENG0000012077	487	66	166	56	318	4	174	32	518	26	155	27
PENG0000012078	0	0	1	4	1	0	3	0	0	2	0	1
PENG0000012079	0	16	8	13	0	5	3	9	2	7	1	2
PENG0000012080	2	23	10	12	6	9	10	19	7	22	13	16
PENG0000012081	5430	3356	3878	1674	6146	4757	5389	1024	5880	2646	4986	1838
PENG0000012082	693	698	1077	426	776	1185	1190	289	643	558	1191	409
PENG0000012083	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012084	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012085	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012086	2255	2224	1938	2268	2496	1504	1973	2161	2024	1684	2238	2326
PENG0000012087	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012088	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012089	0	3	0	5	0	0	0	14	0	2	1	2
PENG0000012090	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012091	0	0	0	3	0	0	4	3	0	1	0	1
PENG0000012092	1050	1256	1041	1267	1043	1422	1057	1281	998	1049	878	1371
PENG0000012093	1580	340	459	249	1492	67	644	1001	1083	331	269	197
PENG0000012094	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012095	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012096	3224	2208	3682	2093	3339	2500	3000	1518	2850	1776	3644	2462
PENG0000012097	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012098	0	0	1	0	0	0	0	0	0	1	0	0
PENG0000012099	223	75	188	49	293	62	151	325	490	35	296	67
PENG0000012100	1	0	1	0	0	0	0	0	0	0	0	0
PENG0000012101	1794	1484	1558	1241	1920	1039	1492	1308	1859	1199	1629	1172
PENG0000012102	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012103	0	0	0	0	0	0	0	0	1	0	0	0
PENG0000012104	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012105	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012106	517	419	451	430	480	526	481	456	486	296	471	470
PENG0000012107	469	2132	576	1857	438	822	1364	2935	768	1389	1349	1118
PENG0000012108	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012109	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012110	0	1	1	1	0	1	6	1	2	0	6	5
PENG0000012111	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012112	9	173	75	237	25	36	11	114	14	91	57	261
PENG0000012113	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012114	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012115	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012116	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012117	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012118	8	16	56	18	4	18	12	18	16	14	809	34
PENG0000012119	56	30	181	24	73	28	299	4	107	15	258	30
PENG0000012120	0	0	0	0	1	0	0	4	0	3	3	0
PENG0000012121	1	0	1	2	2	0	3	0	0	1	0	1
PENG0000012122	0	0	0	4	0	0	0	0	0	0	0	0
PENG0000012123	0	0	3	2	0	11	0	0	0	1	0	0
PENG0000012124	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012125	72	103	119	81	84	59	250	298	83	151	168	63
PENG0000012126	1235	5259	2764	3305	1499	2763	4219	1161	1545	3818	2992	2723
PENG0000012127	0	0	0	0	1	1	0	0	0	0	2	0
PENG0000012128	1	0	0	0	0	0	0	0	1	0	0	0
PENG0000012129	0	1	0	0	0	0	0	3	0	0	0	0
PENG0000012130	588	2492	1135	2764	552	834	1638	3436	760	1690	1302	1586
PENG0000012131	2395	1609	1382	1481	2636	1581	1612	2399	2586	1070	1506	1335
PENG0000012132	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012133	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012134	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012135	0	0	0	0	0	1	2	0	0	0	0	0
PENG0000012136	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012137	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000012138	0	3	0	0	0	0	1	1	1	4	1	0
PENG0000012139	11	219	93	183	21	73	118	213	21	212	146	136
PENG0000012140	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012141	0	6	0	7	0	17	1	2	0	4	0	10
PENG0000012142	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012143	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012144	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012145	0	1	0	0	0	3	0	0	0	0	0	0
PENG0000012146	8	366	239	625	12	170	320	221	23	152	373	575
PENG0000012147	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000012148	0	0	0	0	1	0	0	0	0	1	0	0
PENG0000012149	7397	5227	6946	5504	7689	5513	7167	3968	7190	3612	8062	5814
PENG0000012150	897	728	744	513	811	595	756	413	787	506	759	661
PENG0000012151	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012152	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012153	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000012154	1	2	1	6	4	0	4	4	0	6	0	2
PENG0000012155	0	21	0	12	0	35	0	9	0	16	0	6
PENG0000012156	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012157	159	388	192	279	117	286	239	434	167	204	248	304
PENG0000012158	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012159	1	0	0	0	0	0	0	0	0	0	0	0
PENG0000012160	4	21	5	10	0	16	11	16	1	11	5	12
PENG0000012161	0	0	1	0	0	6	0	2	0	1	2	0
PENG0000012162	0	1	7	0	0	0	12	1	0	0	8	1
PENG0000012163	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012164	45	57	45	45	29	48	40	22	44	31	42	62
PENG0000012165	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012166	1830	2150	1256	1282	2032	1863	1307	1177	1970	1764	1232	1344
PENG0000012167	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012168	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012169	0	3	0	0	0	0	0	3	0	1	0	0
PENG0000012170	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012171	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012172	4	10	3	13	4	5	2	12	0	7	0	9
PENG0000012173	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012174	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012175	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000012176	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012177	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012178	0	1	0	3	0	0	0	3	0	0	0	1
PENG0000012179	1	11	3	8	0	5	3	0	1	1	0	3
PENG0000012180	6	46	44	39	11	12	24	24	13	28	19	31
PENG0000012181	0	0	0	3	0	0	0	0	0	0	0	0
PENG0000012182	37	115	70	131	42	121	107	92	75	59	113	139
PENG0000012183	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012184	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012185	848	910	759	724	993	731	665	822	884	756	784	769
PENG0000012186	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012187	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012188	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012189	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012190	2	1	1	0	0	0	0	0	0	0	0	0
PENG0000012191	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012192	1021	2064	1146	2119	1141	1577	1217	2523	1035	1589	1210	1807
PENG0000012193	2506	2229	3154	2700	2806	2679	2991	2111	2881	1528	3348	2614
PENG0000012194	8	1	4	4	7	6	8	0	17	1	6	0
PENG0000012195	1	2	1	1	0	2	0	1	3	11	1	2
PENG0000012196	1711	1583	1268	1343	1776	1383	1117	1440	1295	1156	1028	1482
PENG0000012197	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012198	0	0	1	0	0	0	0	2	0	0	0	0
PENG0000012199	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012200	24	1192	95	399	34	5322	73	1291	66	1175	75	718
PENG0000012201	795	1167	754	1290	1013	1170	777	1267	839	874	685	1087
PENG0000012202	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012203	795	816	1126	597	620	418	1136	633	731	745	875	812
PENG0000012204	7523	4085	8101	5256	8153	7389	6693	4583	6479	2821	6779	6370
PENG0000012205	174	477	163	352	205	228	171	792	133	398	162	402
PENG0000012206	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012207	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012208	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012209	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012210	0	0	0	3	0	0	0	4	0	0	0	3
PENG0000012211	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012212	0	0	0	3	0	0	0	0	0	0	0	0
PENG0000012213	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012214	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012215	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000012216	2	4	0	6	1	0	10	6	1	3	9	3
PENG0000012217	39	201	16	140	38	92	22	311	48	156	15	157
PENG0000012218	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012219	0	0	0	1	0	0	0	0	0	0	0	2
PENG0000012220	3	2	6	7	5	0	4	2	2	3	2	5
PENG0000012221	0	4	1	2	1	7	1	4	0	1	0	0
PENG0000012222	3617	1834	3568	2930	3755	2428	3735	2844	2822	1590	3109	2833
PENG0000012223	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012224	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012225	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012226	840	877	1016	1086	886	601	921	948	918	605	1139	1148
PENG0000012227	0	0	0	0	0	0	0	6	0	0	0	0
PENG0000012228	1	19	17	7	0	0	20	5	1	7	17	2
PENG0000012229	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012230	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012231	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012232	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012233	1	7	0	0	1	2	0	13	0	24	0	3
PENG0000012234	2422	3679	2844	3094	2715	1921	3491	3288	2718	2720	3046	3066
PENG0000012235	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012236	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012237	3273	2751	3089	2782	3507	2206	3109	2595	3567	2016	3105	2642
PENG0000012238	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000012239	0	0	0	0	2	2	0	0	0	0	0	0
PENG0000012240	0	0	0	3	1	0	0	3	0	3	2	1
PENG0000012241	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012242	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012243	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012244	0	12	0	2	0	10	0	1	0	3	3	7
PENG0000012245	0	0	0	0	0	0	0	1	0	0	0	0
PENG0000012246	1264	2274	1425	2166	1455	1672	1703	2754	1349	1938	1151	1544
PENG0000012247	9	0	6	6	10	4	5	2	8	2	5	2
PENG0000012248	3	0	0	0	1	0	2	0	1	0	0	0
PENG0000012249	0	30	1	9	0	36	3	238	0	41	0	26
PENG0000012250	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012251	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012252	0	0	0	1	1	0	1	0	3	0	2	1
PENG0000012253	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012254	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012255	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012256	931	642	1224	1023	934	1018	1132	630	845	687	1163	1200
PENG0000012257	0	8	1	9	0	2	0	19	0	19	6	5
PENG0000012258	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012259	1	7	12	2	0	0	5	4	6	8	6	1
PENG0000012260	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012261	2777	2394	3356	3187	2799	2084	3279	2468	2301	1746	2884	3416
PENG0000012262	3371	3205	2792	3385	3676	3518	2845	2367	2758	2676	2294	4209
PENG0000012263	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012264	3072	854	1824	876	4068	1675	2212	585	2781	671	1347	1079
PENG0000012265	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012266	683	723	588	764	695	1095	446	2520	434	580	706	825
PENG0000012267	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012268	0	0	0	0	0	2	0	0	0	0	0	0
PENG0000012269	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012270	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012271	0	14	4	24	0	0	3	14	2	6	3	15
PENG0000012272	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012273	1	1	0	0	0	0	0	0	0	0	0	0
PENG0000012274	0	0	0	3	0	0	0	0	0	0	0	0
PENG0000012275	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012276	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012277	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012278	1	3	0	0	0	3	0	1	0	0	1	0
PENG0000012279	5554	6255	4624	7058	6007	6104	4600	8269	4901	4360	3781	7041
PENG0000012280	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012281	24903	33480	25607	33845	26977	21316	27133	13578	24858	24308	27030	35197
PENG0000012282	4029	4427	3911	4855	4210	2647	4829	7123	4262	3285	3688	3770
PENG0000012283	8330	22267	10428	17420	8978	12961	11830	10130	12583	15182	17999	15870
PENG0000012284	2240	1670	2499	1654	2236	1215	2377	1652	2029	1140	2241	1911
PENG0000012285	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012286	126	2802	1491	1199	206	498	763	4153	231	2012	2202	1451
PENG0000012287	966	6472	2486	3771	1181	3433	2276	3684	1168	5147	3024	4389
PENG0000012288	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012289	8891	6118	5711	4836	9740	3336	5771	3347	7866	4432	3991	4215
PENG0000012290	2	43	5	21	0	47	1	6	3	19	5	15
PENG0000012291	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012292	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000012293	0	0	0	0	0	0	0	0	0	0	0	0
